Fusion,Accuracy,Precision,Recall,F1,TrainTime(s)
QFF,0.93375,0.917184265010352,0.8703339882121808,0.8931451612903226,9486.338552713394
QAM,0.939375,0.9327731092436975,0.8722986247544204,0.9015228426395939,14920.067776918411
QEF,0.94,0.9154929577464789,0.8939096267190569,0.904572564612326,13014.15957570076
QSPM,0.9375,0.9379014989293362,0.8605108055009824,0.8975409836065574,17334.99201130867
QPEL,0.931875,0.9504504504504504,0.8290766208251473,0.8856243441762854,19498.009320259094
